action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,12675504,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '12.02', 'le': '0.24', 'lle': '0.04', 'sei': '6.05'}",CHEMBL1336,SORAFENIB,CHEMBL1336,5.58,0,http://www.openphacts.org/units/Nanomolar,1866648,=,1,1,=,,IC50,nM,,2600.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,2.6
,,12675505,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '12.58', 'le': '0.25', 'lle': '0.19', 'sei': '5.39'}",CHEMBL2332840,,CHEMBL2332840,5.65,0,http://www.openphacts.org/units/Nanomolar,1866649,=,1,1,=,,IC50,nM,,2250.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,2.25
,,12675506,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)Nc1ccc(C(F)(F)F)cc1Cl,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '11.30', 'le': '0.22', 'lle': '-0.39', 'sei': '4.84'}",CHEMBL2332871,,CHEMBL2332871,5.07,0,http://www.openphacts.org/units/Nanomolar,1866681,=,1,1,=,,IC50,nM,,8460.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,8.46
,,12675507,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '10.96', 'le': '0.21', 'lle': '-0.54', 'sei': '5.04'}",CHEMBL2332870,,CHEMBL2332870,5.29,0,http://www.openphacts.org/units/Nanomolar,1866680,=,1,1,=,,IC50,nM,,5180.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,5.18
,,12675508,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)Nc1cccc(OC(F)(F)F)c1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '11.04', 'le': '0.21', 'lle': '0.06', 'sei': '4.17'}",CHEMBL2332869,,CHEMBL2332869,4.75,0,http://www.openphacts.org/units/Nanomolar,1866679,=,1,1,=,,IC50,nM,,17760.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,17.76
,,12675509,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)Nc1cccc(F)c1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '13.12', 'le': '0.24', 'lle': '0.85', 'sei': '4.56'}",CHEMBL2332868,,CHEMBL2332868,4.78,0,http://www.openphacts.org/units/Nanomolar,1866678,=,1,1,=,,IC50,nM,,16600.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,16.6
,,12675510,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)c1cccc(NC(=O)Nc2ccc(Oc3ncnc4[nH]ncc34)cc2)c1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '13.16', 'le': '0.24', 'lle': '0.20', 'sei': '4.88'}",CHEMBL2332867,,CHEMBL2332867,5.11,0,http://www.openphacts.org/units/Nanomolar,1866677,=,1,1,=,,IC50,nM,,7730.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,7.73
,,12675511,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)Nc1cccc(C(F)(F)F)c1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '14.43', 'le': '0.27', 'lle': '1.17', 'sei': '5.70'}",CHEMBL2331570,,CHEMBL2331570,5.98,0,http://www.openphacts.org/units/Nanomolar,1866676,=,1,1,=,,IC50,nM,,1050.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,1.05
,,12675512,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)Nc1ccc(N2CCOCC2)cc1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332866,,CHEMBL2332866,,0,http://www.openphacts.org/units/Nanomolar,1866675,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675513,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(F)cc1)Nc1ccc(Oc2ncnc3[nH]ncc23)cc1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '11.11', 'le': '0.20', 'lle': '0.12', 'sei': '3.86'}",CHEMBL2332865,,CHEMBL2332865,4.05,0,http://www.openphacts.org/units/Nanomolar,1866674,=,1,1,=,,IC50,nM,,89400.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,89.4
